geo_level, geo_code, geo_version, class, name, statistic, total
country,ZA,2016,30 001-40K,South Africa,Average trend in 12 months(%),0.2
country,ZA,2016,40 001-50K,South Africa,Average trend in 12 months(%),-0.5
country,ZA,2016,50 001-100K,South Africa,Average trend in 12 months(%),0.3
country,ZA,2016,100 001-150K,South Africa,Average trend in 12 months(%),0.4
country,ZA,2016,150 001-200K,South Africa,Average trend in 12 months(%),-0.2
country,ZA,2016,200 001-300K,South Africa,Average trend in 12 months(%),-0.8
country,ZA,2016,300 001-500K,South Africa,Average trend in 12 months(%),0.7
country,ZA,2016,500 001-800K,South Africa,Average trend in 12 months(%),0.1
country,ZA,2016,800 001-1M,South Africa,Average trend in 12 months(%),-0.6
country,ZA,2016,Above 1M,South Africa,Average trend in 12 months(%),7.9
country,ZA,2016,Under 1.5K,South Africa,Average price in November 2018(R/ha),573
country,ZA,2016,1 501-3K,South Africa,Average price in November 2018(R/ha),2112
country,ZA,2016,3 001-5K,South Africa,Average price in November 2018(R/ha),3504
country,ZA,2016,5 001-10K,South Africa,Average price in November 2018(R/ha),6989
country,ZA,2016,10 001-20K,South Africa,Average price in November 2018(R/ha),13871
country,ZA,2016,20 001-30K,South Africa,Average price in November 2018(R/ha),25566
country,ZA,2016,30 001-40K,South Africa,Average price in November 2018(R/ha),36028
country,ZA,2016,40 001-50K,South Africa,Average price in November 2018(R/ha),44083
country,ZA,2016,50 001-100K,South Africa,Average price in November 2018(R/ha),74838
country,ZA,2016,100 001-150K,South Africa,Average price in November 2018(R/ha),124474
country,ZA,2016,150 001-200K,South Africa,Average price in November 2018(R/ha),178943
country,ZA,2016,200 001-300K,South Africa,Average price in November 2018(R/ha),238112
country,ZA,2016,300 001-500K,South Africa,Average price in November 2018(R/ha),402205
country,ZA,2016,500 001-800K,South Africa,Average price in November 2018(R/ha),622222
country,ZA,2016,800 001-1M,South Africa,Average price in November 2018(R/ha),
country,ZA,2016,Above 1M,South Africa,Average price in November 2018(R/ha),10438627
district,DC10,2016,Under1.5K,Aberdeen,Number of transactions in 12 months,
district,DC10,2016,1 501-3K,Aberdeen,Number of transactions in 12 months,1
district,DC10,2016,3 001-5K,Aberdeen,Number of transactions in 12 months,
district,DC10,2016,5 001-10K,Aberdeen,Number of transactions in 12 months,
district,DC10,2016,10 001-20K,Aberdeen,Number of transactions in 12 months,
district,DC10,2016,20 001-30K,Aberdeen,Number of transactions in 12 months,
district,DC10,2016,30 001-40K,Aberdeen,Number of transactions in 12 months,
district,DC10,2016,40 001-50K,Aberdeen,Number of transactions in 12 months,
district,DC10,2016,50 001-100K,Aberdeen,Number of transactions in 12 months,
district,DC10,2016,100 001-150K,Aberdeen,Number of transactions in 12 months,
district,DC10,2016,150 001-200K,Aberdeen,Number of transactions in 12 months,
district,DC10,2016,200 001-300K,Aberdeen,Number of transactions in 12 months,
district,DC10,2016,300 001-500K,Aberdeen,Number of transactions in 12 months,
district,DC10,2016,500 001-800K,Aberdeen,Number of transactions in 12 months,
district,DC10,2016,800 001-1M,Aberdeen,Number of transactions in 12 months,
district,DC10,2016,Above1M,Aberdeen,Number of transactions in 12 months,
district,DC10,2016,Under1.5K,Aberdeen,Total hectare traded in 12 months(ha),
district,DC10,2016,1 501-3K,Aberdeen,Total hectare traded in 12 months(ha),2046
district,DC10,2016,3 001-5K,Aberdeen,Total hectare traded in 12 months(ha),
district,DC10,2016,5 001-10K,Aberdeen,Total hectare traded in 12 months(ha),
district,DC10,2016,10 001-20K,Aberdeen,Total hectare traded in 12 months(ha),
district,DC10,2016,20 001-30K,Aberdeen,Total hectare traded in 12 months(ha),
district,DC10,2016,30 001-40K,Aberdeen,Total hectare traded in 12 months(ha),
district,DC10,2016,40 001-50K,Aberdeen,Total hectare traded in 12 months(ha),
district,DC10,2016,50 001-100K,Aberdeen,Total hectare traded in 12 months(ha),
district,DC10,2016,100 001-150K,Aberdeen,Total hectare traded in 12 months(ha),
district,DC10,2016,150 001-200K,Aberdeen,Total hectare traded in 12 months(ha),
district,DC10,2016,200 001-300K,Aberdeen,Total hectare traded in 12 months(ha),
district,DC10,2016,300 001-500K,Aberdeen,Total hectare traded in 12 months(ha),
district,DC10,2016,500 001-800K,Aberdeen,Total hectare traded in 12 months(ha),
district,DC10,2016,800 001-1M,Aberdeen,Total hectare traded in 12 months(ha),
district,DC10,2016,Above1M,Aberdeen,Total hectare traded in 12 months(ha),
district,DC10,2016,Under1.5K,Aberdeen,Lowest price per hectare in 12 months(R/ha),
district,DC10,2016,1 501-3K,Aberdeen,Lowest price per hectare in 12 months(R/ha),2796
district,DC10,2016,3 001-5K,Aberdeen,Lowest price per hectare in 12 months(R/ha),
district,DC10,2016,5 001-10K,Aberdeen,Lowest price per hectare in 12 months(R/ha),
district,DC10,2016,10 001-20K,Aberdeen,Lowest price per hectare in 12 months(R/ha),
district,DC10,2016,20 001-30K,Aberdeen,Lowest price per hectare in 12 months(R/ha),
district,DC10,2016,30 001-40K,Aberdeen,Lowest price per hectare in 12 months(R/ha),
district,DC10,2016,40 001-50K,Aberdeen,Lowest price per hectare in 12 months(R/ha),
district,DC10,2016,50 001-100K,Aberdeen,Lowest price per hectare in 12 months(R/ha),
district,DC10,2016,100 001-150K,Aberdeen,Lowest price per hectare in 12 months(R/ha),
district,DC10,2016,150 001-200K,Aberdeen,Lowest price per hectare in 12 months(R/ha),
district,DC10,2016,200 001-300K,Aberdeen,Lowest price per hectare in 12 months(R/ha),
district,DC10,2016,300 001-500K,Aberdeen,Lowest price per hectare in 12 months(R/ha),
district,DC10,2016,500 001-800K,Aberdeen,Lowest price per hectare in 12 months(R/ha),
